gene_name_norm,gene_name,gene_id,count_tumor,count_normal,mean_raw_tumor,mean_raw_normal,mean_log_tumor,mean_log_normal,gdc_log2_fc,gdc_abs_log2_fc,gdc_p_value,gdc_adj_p_value,gdc_neg_log10_fdr,gdc_expression_status,count_advanced,count_early,mean_advanced,mean_early,geo_stage_diff_advanced_vs_early,geo_p_value,geo_adj_p_value,degree_gene,weighted_degree_gene,protein_count,pagerank,betweenness_centrality,target_penalty_reason,target_penalty_factor,geo_direction_match,geo_validation_status,geo_validation_bonus,pca_1,pca_2,cluster_id,gdc_neg_log10_p,sample_prevalence_score,expression_evidence_score,network_context_score,geo_component_score,de_priority_gate,target_score_raw,target_score,target_rank,evidence_level
PLK1,PLK1,ENSG00000166851,492.0,24.0,15.236954674796749,1.8005208333333333,3.597001300350715,1.3360288696879001,2.535514007165149,2.535514007165149,2.586402603113493e-18,4.117973020877867e-17,16.385316503012366,FDR Up-regulated,337.0,766.0,0.2771293473615137,0.015124042373601659,0.262005304987912,1.8910516837842435e-05,0.0003422711000258757,2765.0,906.543,1.0,0.0004579838996121124,0.007233138080072794,none,1.0,True,validated,1.0,10.481297102550439,1.5546925863881567,4,17.5873038712958,0.6666666666666666,0.6666666666666666,0.25309822145857647,1.0,1.0,0.6256816087208867,0.6256816087208867,1,high
CCNB1,CCNB1,ENSG00000134057,492.0,24.0,58.0504231707317,7.7923,5.431116898870155,3.034637552868073,2.7476348802906454,2.7476348802906454,5.440197101890457e-22,1.5679856980337607e-20,19.804657902935602,FDR Up-regulated,337.0,766.0,0.42635295841599696,0.013068343658688995,0.413284614757308,2.4846078297061407e-11,1.5314846594772016e-08,3049.0,936.358,1.0,0.0003064365283725703,0.003931130573248408,none,1.0,True,validated,1.0,8.451892272609275,2.6977129367292907,0,21.264385365244337,0.6666666666666666,0.6666666666666666,0.20588902701485046,1.0,1.0,0.615295585943267,0.615295585943267,2,high
CDC20,CDC20,ENSG00000117399,492.0,24.0,60.81095792682928,4.892116666666666,5.34739345827945,2.209664074246519,3.391004721846256,3.391004721846256,2.9191551292251034e-16,3.355138011851702e-15,14.474289610650619,FDR Up-regulated,337.0,765.0,0.33638432138512747,0.012217611788461607,0.3241667095966659,1.39635381123248e-07,7.002053790302046e-06,2650.0,799.3579999999997,1.0,0.00030742393439423075,0.004201262511373977,none,1.0,True,validated,1.0,7.791482558597794,2.8286408958174807,0,15.534742825198254,0.6666666666666666,0.6666666666666666,0.19051588000331793,1.0,1.0,0.6119134936007299,0.6119134936007299,3,high
CAV1,CAV1,ENSG00000105974,492.0,24.0,117.90487256097562,1231.3559041666667,6.108817289037922,10.185885719806363,-3.3735392251801883,3.3735392251801883,1.6510657836503464e-31,1.6472556318419225e-29,28.783238998958034,FDR Down-regulated,337.0,766.0,-0.25260010903676317,0.008081155595997003,-0.26068126463276015,9.445933548026774e-05,0.0012271971043952817,2689.0,843.6230000000003,1.0,0.0002991830255326795,0.002012956854716409,none,1.0,True,validated,1.0,7.307204073086599,4.524656204172647,0,30.782235622735275,0.6666666666666666,0.6666666666666666,0.18497021514627027,1.0,1.0,0.6106934473321793,0.6106934473321793,4,high
CCNA2,CCNA2,ENSG00000145386,492.0,24.0,22.786759959349595,2.8712499999999994,4.047049738806862,1.7972160368369094,2.619287389846812,2.619287389846812,7.307751562171056e-17,9.16785707513141e-16,15.03773216587904,FDR Up-regulated,337.0,766.0,0.2967537302283421,0.013412011068438328,0.2833417191599038,1.9261567984448693e-05,0.00034749121428855,2485.0,805.7589999999999,1.0,0.00029580457918083447,0.0007333845162268729,none,1.0,True,validated,1.0,6.249476900686428,2.6013209131687702,0,16.13621622555215,0.6666666666666666,0.6666666666666666,0.17430430690555954,1.0,1.0,0.608346947519223,0.608346947519223,5,high
TOP2A,TOP2A,ENSG00000131747,492.0,24.0,67.20873414634146,4.486987500000001,5.499841268198703,2.2828632249079064,3.6358702942616725,3.6358702942616725,1.7725194092347992e-20,3.932427599882625e-19,18.405339264448074,FDR Up-regulated,337.0,766.0,0.30839404840373297,0.006673150788871061,0.3017208976148619,7.244661525252294e-07,2.4808493710701912e-05,3408.0,980.8780000000002,1.0,0.00019089636471941818,0.0008269828632089779,none,1.0,True,validated,1.0,6.901444598064453,3.894627447840757,0,19.751409000558198,0.6666666666666666,0.6666666666666666,0.17016565772671768,1.0,1.0,0.6074364446998778,0.6074364446998778,6,high
AURKB,AURKB,ENSG00000178999,492.0,24.0,21.78094593495935,2.109516666666667,3.969928044904347,1.367739890192296,2.8730653984379595,2.8730653984379595,1.199726805802842e-15,1.2267188400631727e-14,13.911254964739335,FDR Up-regulated,318.0,698.0,0.26641800263772114,0.013982733761093494,0.25243526887662765,0.00018285409951991226,0.0020047097175626746,2489.0,793.728,1.0,0.00022043948045331345,0.0029193205944798304,none,1.0,True,validated,1.0,6.392851657102726,2.5909972374434953,0,14.920917637485733,0.6666666666666666,0.6666666666666666,0.16314199828518938,1.0,1.0,0.6058912396227416,0.6058912396227416,7,high
COL1A1,COL1A1,ENSG00000108821,492.0,24.0,1182.8176863821132,160.54253333333332,9.397252360946196,6.733693937912616,2.8734609417309707,2.8734609417309707,8.12877494460548e-10,3.2478501028671326e-09,8.48840402284216,FDR Up-regulated,337.0,766.0,0.4581476823918698,0.00596585953407544,0.4521818228577944,1.6128985485220065e-12,2.55644419940738e-09,2560.0,742.3249999999997,1.0,0.00024200818607651717,0.0008175045495905369,none,1.0,True,validated,1.0,5.644562584707227,2.267656915898065,0,9.089974900271402,0.6666666666666666,0.6666666666666666,0.15363112584196562,1.0,1.0,0.6037988476852324,0.6037988476852324,8,high
EXO1,EXO1,ENSG00000174371,492.0,24.0,8.104884146341464,0.6470166666666667,2.7152978483850196,0.685364758433768,2.4667855057623753,2.4667855057623753,1.0896034045418051e-34,1.6115616670157347e-32,31.79275307139134,FDR Up-regulated,318.0,699.0,0.3616143324805582,0.01211540493647833,0.34949892754407985,3.975914737882333e-07,1.5532666907325523e-05,2090.0,659.4409999999996,1.0,0.0002543892598693367,0.005420015670811849,none,1.0,True,validated,1.0,7.040297209503111,3.7774396395388523,0,33.96273154844578,0.6666666666666666,0.6613523475886467,0.16531957979841916,1.0,1.0,0.6032880024904006,0.6032880024904006,9,high
CDCA8,CDCA8,ENSG00000134690,492.0,24.0,28.541452032520322,3.711066666666667,4.436956500702647,2.071840551257294,2.648615086781384,2.648615086781384,1.1605030467956593e-17,1.6512440398330475e-16,15.782188736960938,FDR Up-regulated,277.0,626.0,0.30513398887065074,0.012166657122897174,0.2929673317477536,1.7434117733206145e-05,0.0003241475443879042,2358.0,721.5939999999999,1.0,0.00018405223109749995,0.002127881407340006,none,1.0,True,validated,1.0,5.482082477406398,2.7654149734852775,0,16.935353715005732,0.6666666666666666,0.6666666666666666,0.1421369893054903,1.0,1.0,0.6012701376472078,0.6012701376472078,10,high
CENPA,CENPA,ENSG00000115163,492.0,24.0,11.487470528455285,0.9401375000000001,3.1017649316561537,0.8754179502627378,2.686250466360956,2.686250466360956,9.219341401612429e-23,2.938512577931704e-21,20.531872446002964,FDR Up-regulated,337.0,766.0,0.38599347566096914,0.008054623171257332,0.3779388524897118,3.4099706624029105e-09,4.913457727189648e-07,1997.0,628.7569999999996,1.0,0.0002127441114305548,0.0002286643160448893,none,1.0,True,validated,1.0,4.516163387202753,3.5434717452499314,0,22.035300102358693,0.6666666666666666,0.6666666666666666,0.1301532502401201,1.0,1.0,0.5986337150528264,0.5986337150528264,11,high
CDC6,CDC6,ENSG00000094804,492.0,24.0,14.675316666666667,1.3836833333333332,3.473791226949575,1.1858794167331648,2.717230093053017,2.717230093053017,2.9699047938898227e-25,1.3533936413453054e-23,22.86857586829524,FDR Up-regulated,337.0,765.0,0.3858891873847063,0.00773671185027114,0.37815247553443515,7.740266711750085e-09,8.419437173222273e-07,1828.0,573.3089999999999,1.0,0.0001744640791869157,0.0033221489232635733,none,1.0,True,validated,1.0,5.038199777283757,3.5445801475964265,0,24.52725747261916,0.6666666666666666,0.6666666666666666,0.12654124324147556,1.0,1.0,0.5978390735131246,0.5978390735131246,12,high
RECQL4,RECQL4,ENSG00000160957,492.0,24.0,17.23619634146342,2.1229999999999998,3.7782638225961582,1.5963962091629187,2.545800372819116,2.545800372819116,4.62878986101993e-28,3.1094034201855393e-26,25.507322928071194,FDR Up-regulated,318.0,699.0,0.2583893780199717,0.007805633059208506,0.2505837449607632,0.0004973593718272094,0.004277676147614642,2373.0,775.225,1.0,0.00010678791558515,0.0001374355474673946,none,1.0,True,validated,1.0,4.431512359986236,3.997562742115114,0,27.334532534981072,0.6666666666666666,0.6666666666666666,0.12150708157080102,1.0,1.0,0.5967315579455762,0.5967315579455762,13,high
BUB1B,BUB1B,ENSG00000156970,492.0,24.0,9.555408739837397,0.9175166666666668,2.941755220691113,0.8613391960489989,2.4606714231134035,2.4606714231134035,3.822032828028112e-22,1.1266310404437412e-20,19.948218287444956,FDR Up-regulated,318.0,699.0,0.3578289487492879,0.0011901887512108969,0.356638759998077,6.247075919385932e-08,3.8083135893179623e-06,1716.0,585.754,1.0,0.0002559769602044123,0.000703369856435143,none,1.0,True,validated,1.0,4.637876967295375,3.1921006216223375,0,21.41770558704285,0.6666666666666666,0.6603740943648112,0.13750811832623802,1.0,1.0,0.5966020940966962,0.5966020940966962,14,high
KIF20A,KIF20A,ENSG00000112984,492.0,24.0,17.77824512195122,1.968895833333333,3.819853580735539,1.4357764553266248,2.6610638645850093,2.6610638645850093,7.742402720572186e-18,1.1381399500572591e-16,15.94380433214076,FDR Up-regulated,259.0,555.0,0.4546623598670939,-4.228707906362173e-10,0.4546623602899647,4.246366189154624e-11,2.243496803270026e-08,1963.0,654.6419999999999,1.0,0.00015140162371358085,0.0008305372308158933,none,1.0,True,validated,1.0,4.2054022726324805,3.069996610881798,0,17.11112424263041,0.6666666666666666,0.6666666666666666,0.12062575454078882,1.0,1.0,0.5965376659989735,0.5965376659989735,15,high
CCNB2,CCNB2,ENSG00000157456,492.0,24.0,25.38760000000001,3.102133333333333,4.258453894809529,1.889556166194456,2.685413850699674,2.685413850699674,1.635823043847572e-18,2.7147256242434955e-17,16.566274057750466,FDR Up-regulated,318.0,699.0,0.41775470011744575,0.01087866757133841,0.4068760325461073,1.5525981089729244e-10,4.597452719172915e-08,1914.0,569.0620000000001,1.0,0.0002002556150109007,1.6587048832271762e-05,none,1.0,True,validated,1.0,4.029031259768357,3.216506790966302,0,17.78626367819348,0.6666666666666666,0.6666666666666666,0.1189234674689445,1.0,1.0,0.5961631628431677,0.5961631628431677,16,high
UBE2C,UBE2C,ENSG00000175063,492.0,24.0,106.37388089430891,5.681158333333333,5.940027497069295,2.443837167943977,4.006401035769338,4.006401035769338,1.775782665098782e-18,2.9239718277568907e-17,16.534026816087867,FDR Up-regulated,337.0,766.0,0.33673017227176566,0.008757945185851832,0.32797222708591384,3.188100811209104e-07,1.3149434386752792e-05,2020.0,588.132,1.0,0.0001801247164087813,0.00020852289960570215,none,1.0,True,validated,1.0,4.220334130373677,4.455565615529704,3,17.750610187838973,0.6666666666666666,0.6666666666666666,0.11706449340649382,1.0,1.0,0.5957541885494285,0.5957541885494285,17,high
SPP1,SPP1,ENSG00000118785,492.0,24.0,814.1558439024386,24.520570833333334,8.407436835937114,4.009638339932053,4.997343400244296,4.997343400244296,9.80699378308711e-15,8.702932746138515e-14,13.060334372572559,FDR Up-regulated,337.0,765.0,0.24026185449196208,-0.0063793317099053145,0.2466411862018674,9.478746406080309e-05,0.001230019782169135,1966.0,595.196,1.0,0.00015907551491199448,0.0007890696087352138,none,1.0,True,validated,1.0,4.283905992457645,5.007391381108064,3,14.008464100010647,0.6666666666666666,0.6666666666666666,0.11509678797224084,1.0,1.0,0.5953212933538929,0.5953212933538929,18,high
BIRC5,BIRC5,ENSG00000089685,492.0,24.0,36.97252621951219,2.6422833333333333,4.649684767466615,1.67452469533857,3.38204092204588,3.38204092204588,2.018029452271647e-19,3.806039663842532e-18,17.419526690116736,FDR Up-regulated,318.0,698.0,0.306908110683819,0.010418813311719045,0.29648929737209995,2.440317010223408e-05,0.0004210780284359053,1915.0,583.7099999999999,1.0,0.0001664564231233333,0.0006445253260539885,none,1.0,True,validated,1.0,4.1067009904343434,3.9368552658909786,3,18.69507249971174,0.6666666666666666,0.6666666666666666,0.1149278792897231,1.0,1.0,0.595284133443739,0.595284133443739,19,high
CDC45,CDC45,ENSG00000093009,492.0,24.0,12.571558536585362,1.34155,3.2857905082597565,1.122708048849204,2.53505065722604,2.53505065722604,1.5301223877825534e-19,2.9284215187743057e-18,17.533366410502325,FDR Up-regulated,318.0,699.0,0.36419835607609097,0.022678514020530793,0.3415198420555602,2.412957535605117e-06,6.577828957626235e-05,1563.0,503.2520000000001,1.0,0.00020925684147624044,0.00013862033666969974,none,1.0,True,validated,1.0,3.6428876223202216,3.2082653126592,0,18.815273830481193,0.6666666666666666,0.6666666666666666,0.11361146695049948,1.0,1.0,0.5949945227291098,0.5949945227291098,20,high
RRM2,RRM2,ENSG00000171848,492.0,24.0,20.91605243902439,2.23945,3.945367370094177,1.5355288822555657,2.7581671652312565,2.7581671652312565,9.53287952399828e-18,1.3795965817123143e-16,15.860247890374028,FDR Up-regulated,337.0,766.0,0.4087417657854649,0.009944612719186985,0.3987971530662779,4.866861078740068e-10,1.0587808562474716e-07,1682.0,516.147,1.0,0.0001869532939221954,0.0007630042462845011,none,1.0,True,validated,1.0,3.825282826988592,3.192115526850717,0,17.020775895532694,0.6666666666666666,0.6666666666666666,0.11222429571060377,1.0,1.0,0.5946893450563328,0.5946893450563328,21,high
FOXM1,FOXM1,ENSG00000111206,492.0,24.0,21.8765418699187,1.9563583333333332,3.896011768413906,1.4703913780350903,2.95197593283845,2.95197593283845,2.759981587030344e-22,8.23646894494135e-21,20.08425893471033,FDR Up-regulated,337.0,766.0,0.37162257406276095,0.012004654342065475,0.35961791972069546,1.5419296285089207e-08,1.3365397834614433e-06,2061.0,596.5729999999998,1.0,0.0001261564053866648,0.00013388117986047924,none,1.0,True,validated,1.0,3.7495620228429676,3.905585729289093,3,21.55909381528181,0.6666666666666666,0.6666666666666666,0.10447260256612143,1.0,1.0,0.5929839725645466,0.5929839725645466,22,high
NEK2,NEK2,ENSG00000117650,492.0,24.0,17.392954878048773,1.4067333333333332,3.68559128787356,1.1782998118149577,2.934005066435579,2.934005066435579,1.2330026090536604e-23,4.395276319503968e-22,21.357013816775975,FDR Up-regulated,337.0,766.0,0.2658882772889215,0.005690078126669645,0.26019819916225184,7.193837121904127e-05,0.0010027088299940487,1693.0,495.13899999999995,1.0,0.00013735232656954466,0.0023861654534425235,none,1.0,True,validated,1.0,4.045545117549488,3.813203363714642,3,22.90903600442908,0.6666666666666666,0.6666666666666666,0.10403216263397025,1.0,1.0,0.5928870757794734,0.5928870757794734,23,high
SLC2A1,SLC2A1,ENSG00000117394,492.0,24.0,94.0136463414634,9.306575,5.791766938014186,3.2320835713525136,3.204569748228578,3.204569748228578,9.367527657262211e-20,1.88254927090701e-18,17.725253648432435,FDR Up-regulated,296.0,693.0,0.42164361961211494,0.009467947894035707,0.41217567171807923,3.555009050400003e-09,5.056772488998465e-07,2569.0,678.3620000000001,1.0,8.091575754418172e-05,8.648961176827419e-05,none,1.0,True,validated,1.0,4.039012432915378,3.894242873006727,0,19.02837501599465,0.6666666666666666,0.6666666666666666,0.10309556767121131,1.0,1.0,0.5926810248876664,0.5926810248876664,24,high
EPAS1,EPAS1,ENSG00000116016,492.0,24.0,176.19935853658532,1230.0955958333332,7.193793451805037,10.025705504964137,-2.7964975064741213,2.7964975064741213,5.2157172165430165e-14,4.0433199075003124e-13,12.39326189592437,FDR Down-regulated,337.0,766.0,-0.2650436674954939,-0.008477395900413296,-0.2565662715950806,8.748877670067891e-05,0.0011638944574268975,2158.0,603.3629999999999,1.0,9.999266421721578e-05,8.648961176827419e-05,none,1.0,True,validated,1.0,3.4939337083835444,3.007153154434849,0,13.28268596302463,0.6666666666666666,0.6666666666666666,0.09865162966729224,1.0,1.0,0.5917033585268042,0.5917033585268042,25,high
STX1A,STX1A,ENSG00000106089,492.0,24.0,14.463359959349596,1.7292416666666668,3.4772149217523975,1.4089242800266915,2.5022817776478417,2.5022817776478417,1.9914959908909724e-29,1.5764607465921447e-27,26.80231683858602,FDR Up-regulated,337.0,765.0,0.3434160214127525,-0.008029117651003736,0.35144513906375624,1.8304116911860238e-07,8.553067839295712e-06,1154.0,360.694,1.0,0.0002071002175998285,0.0007215366242038217,none,1.0,True,validated,1.0,3.1838020454530715,4.16003637972716,3,28.700820563538198,0.6666666666666666,0.6666666666666666,0.09805828885023637,1.0,1.0,0.5915728235470519,0.5915728235470519,26,high
COL3A1,COL3A1,ENSG00000168542,492.0,24.0,1102.0906229674797,184.47872499999997,9.417923581077941,7.07532183559056,2.5722256987859913,2.5722256987859913,8.045707796719109e-10,3.216947573167676e-09,8.492556016769623,FDR Up-regulated,337.0,766.0,0.3702107227313435,0.0036312156610978723,0.3665795070702456,2.4947001444854738e-08,1.8967072507687966e-06,1790.0,494.71299999999997,1.0,0.00014436753888728368,0.00010544623900515621,none,1.0,True,validated,1.0,3.1415916339128582,2.4072861640507264,0,9.094435744145676,0.6666666666666666,0.6666666666666666,0.09642154392384568,1.0,1.0,0.591212739663246,0.591212739663246,27,high
PLEK2,PLEK2,ENSG00000100558,492.0,24.0,41.209446544715455,5.703516666666666,4.94024419024999,2.696563436388263,2.654575875148486,2.654575875148486,8.418607743730391e-29,6.14485476913585e-27,26.21148837700995,FDR Up-regulated,277.0,624.0,0.2078342370883081,0.001051070501349526,0.20678316658695856,0.0035837971139818484,0.0195969585902556,1654.0,486.7299999999999,1.0,0.0001367312903705177,9.715271458902033e-05,none,1.0,True,validated,1.0,3.1983200867346118,4.325473213673015,3,28.074759725508724,0.6666666666666666,0.6666666666666666,0.0935292452835742,1.0,1.0,0.5905764339623862,0.5905764339623862,28,high
MKI67,MKI67,ENSG00000148773,492.0,24.0,21.18504776422764,2.598429166666667,3.929894506209623,1.689507874652472,2.624148494279883,2.624148494279883,6.461692783672058e-17,8.191774588383051e-16,15.086622006608511,FDR Up-regulated,337.0,765.0,0.35671633966363836,0.00834831887748841,0.3483680207861499,1.289371849320782e-07,6.779896051286292e-06,1907.0,561.558,1.0,9.279227551485053e-05,5.923946011525629e-05,none,1.0,True,validated,1.0,3.1019440428659975,3.1774160161345733,3,16.18965369403234,0.6666666666666666,0.6666666666666666,0.09166262363224875,1.0,1.0,0.5901657771990947,0.5901657771990947,29,high
NDC80,NDC80,ENSG00000080986,492.0,24.0,12.023489837398374,1.2637583333333333,3.203782664874423,1.1112258654681877,2.524324234720143,2.524324234720143,2.4399021391821185e-23,8.430161878842151e-22,21.0741640858245,FDR Up-regulated,318.0,699.0,0.3498178856379979,0.00776638676567624,0.34205149887232167,1.5279664340772976e-07,7.37415914356413e-06,1318.0,419.21600000000007,1.0,0.00014549457263023015,0.0004751004701243555,none,1.0,True,validated,1.0,2.8240957986038744,3.6819746626627983,3,22.612627592212707,0.6666666666666666,0.6666666666666666,0.08899298738787023,1.0,1.0,0.5895784572253314,0.5895784572253314,30,high
EZH2,EZH2,ENSG00000106462,492.0,24.0,16.279834959349593,2.7936375000000004,3.787243317593266,1.859128330477861,2.18743570419222,2.18743570419222,5.031002508030171e-21,1.2049393932939873e-19,18.919034796923082,FDR Up-regulated,337.0,765.0,0.414817580430926,0.013488220601811323,0.40132935982911466,7.03418932808142e-10,1.4452653813900623e-07,3611.0,1123.323,1.0,0.00031122747842839946,0.0013506596906278435,none,1.0,True,validated,1.0,8.538438920705865,2.2391409352986344,0,20.298345466171888,0.6666666666666666,0.6166563793374218,0.21937453283537509,1.0,1.0,0.5892564305728204,0.5892564305728204,31,high
CCNE1,CCNE1,ENSG00000105173,492.0,24.0,13.568483536585369,1.3506375000000002,3.187973634665054,1.1726068649673145,2.6317267338965467,2.6317267338965467,5.2067497881154045e-25,2.328673956960579e-23,22.632891313786143,FDR Up-regulated,337.0,766.0,0.32141101587883636,0.007107270930964541,0.31430374494787183,7.027482843595816e-07,2.421426153717254e-05,1675.0,505.7899999999999,1.0,0.00010161503709404322,0.00012440286624203822,none,1.0,True,validated,1.0,2.9395081634071456,3.9810006045535506,3,24.283433291971267,0.6666666666666666,0.6666666666666666,0.08730029327429031,1.0,1.0,0.5892060645203437,0.5892060645203437,32,high
